Node                                                                              | Description                                                                                                        | Type   | Player default | OP default     | Variants                                                                                                                                    
serverutilities.claims.block.interact.natura.door.hopseed                         |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.natura.door.redwood                         |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.natura.door.redwoodbark                     |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.natura.door.sakura                          |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.natura.natura.workbench                     |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.opensecurity.securitydoor                   |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.opensecurity.securitydoorprivate            |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.railcraft.anvil                             |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.thaumicbases.thaumicanvil                   |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.thaumicbases.voidanvil                      |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.witchery.alderwooddoor                      |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.witchery.icedoor                            |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.witchery.rowanwooddoor                      |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.bypass_limits                                              | Allow to bypass claiming and loading limits                                                                        | bool   | false          | false          | [true, false]                                                                                                                               
serverutilities.claims.item                                                       | Permission for items that players can right-click in air within claimed chunks                                     | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.item.awwayoftime.bucketlife                                |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.awwayoftime.lavasigil                                 |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.awwayoftime.voidsigil                                 |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.awwayoftime.watersigil                                |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.buildcraft|energy.bucketfuel                          |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.buildcraft|energy.bucketoil                           |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.dreamcraft.dreamcraft_concrete_bucket                 |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.dreamcraft.dreamcraft_enrichedbacterialsludge_bucket  |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.dreamcraft.dreamcraft_fermentedbacterialsludge_bucket |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.dreamcraft.dreamcraft_nitricacid_bucket               |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.dreamcraft.dreamcraft_pollution_bucket                |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.dreamcraft.dreamcraft_sodiumpotassium_bucket          |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.enderio.bucketcloud_seed                              |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.enderio.bucketcloud_seed_concentrated                 |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.enderio.bucketender_distillation                      |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.enderio.bucketfire_water                              |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.enderio.buckethootch                                  |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.enderio.bucketliquid_sunshine                         |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.enderio.bucketnutrient_distillation                   |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.enderio.bucketrocket_fuel                             |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.enderio.bucketvapor_of_levity                         |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.galacticraftcore.item.bucketfuel                      |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.galacticraftcore.item.bucketoil                       |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.galacticraftmars.item.bucketsludge                    |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.galaxyspace.item.methanebucket                        |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.galaxyspace.item.unknowwaterbucket                    |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.gendustry.liquiddnabucket                             |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.gendustry.mutagenbucket                               |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.gendustry.proteinbucket                               |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.hardcoreenderexpansion.bucket_ender_goo               |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.iguanatweakstconstruct.claybucketfired                |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.iguanatweakstconstruct.claybucketlava                 |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.iguanatweakstconstruct.claybucketstinkers             |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.iguanatweakstconstruct.claybucketwater                |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.minecraft.bucket                                      |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.minecraft.lava_bucket                                 |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.minecraft.water_bucket                                |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.tconstruct.buckets                                    |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.max_chunks                                                 | Max Claimable Chunks                                                                                               | int    | 100            | 1000           | [0 to 30000]                                                                                                                                
serverutilities.display.admin_info                                                | Display 'Admin' in Server Info                                                                                     | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.homes.cooldown                                                    | /home Cooldown Timer                                                                                               | timer  | 5m             | 0s             | [0s to ∞]                                                                                                                                   
serverutilities.homes.cross_dim                                                   | Can use /home to teleport to/from another dimension                                                                | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.homes.max                                                         | Max Homes                                                                                                          | int    | 1              | 100            | [0 to 30000]                                                                                                                                
serverutilities.homes.warmup                                                      | /home Warmup Timer                                                                                                 | timer  | 5s             | 0s             | [0s to 5m]                                                                                                                                  
serverutilities.journeymap.enable                                                 | Allow player to see own teams claims on JourneyMap overlay                                                         | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.journeymap.other                                                  | Allow player to see other teams claims on JourneyMap overlay                                                       | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.leaderboard.                                                      | Permission for leaderboards that players can view                                                                  | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.other_player.claims.claim                                         | Allow player to claim other team chunks                                                                            | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.other_player.claims.load                                          | Allow player to load other team chunks                                                                             | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.other_player.claims.see_info                                      | Allow player to see info of other team chunks                                                                      | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.other_player.claims.unclaim                                       | Allow player to unclaim other team chunks                                                                          | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.other_player.claims.unload                                        | Allow player to unload other team chunks                                                                           | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.other_player.heal                                                 | Allow to heal other players                                                                                        | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.other_player.homes.list                                           | Allow to list other people homes                                                                                   | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.other_player.homes.teleport                                       | Allow to teleport to other people homes                                                                            | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.rtp.cooldown                                                      | /rtp Cooldown Timer                                                                                                | timer  | 10m            | 0s             | [0s to ∞]                                                                                                                                   
serverutilities.rtp.warmup                                                        | permission.serverutilities.rtp.warmup                                                                              | timer  | 5s             | 0s             | [0s to 5m]                                                                                                                                  
serverutilities.spawn.cooldown                                                    | /spawn Cooldown Timer                                                                                              | timer  | 1m             | 0s             | [0s to ∞]                                                                                                                                   
serverutilities.spawn.warmup                                                      | /spawn Warmup Timer                                                                                                | timer  | 5s             | 0s             | [0s to 5m]                                                                                                                                  
serverutilities.tpa.cooldown                                                      | /tpa Cooldown Timer                                                                                                | timer  | 3m             | 0s             | [0s to ∞]                                                                                                                                   
serverutilities.tpa.cross_dim                                                     | Can use /tpa to teleport to/from another dimension                                                                 | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.tpa.warmup                                                        | /tpa Warmup Timer                                                                                                  | timer  | 5s             | 0s             | [0s to 5m]                                                                                                                                  
serverutilities.warps.cooldown                                                    | /warp Cooldown Timer                                                                                               | timer  | 1m             | 0s             | [0s to ∞]                                                                                                                                   
serverutilities.warps.warmup                                                      | /warp Warmup Timer                                                                                                 | timer  | 5s             | 0s             | [0s to 5m]                                                                                                                                  

Command Permissions
Node | Command | Default Permission | Usage
     |         |                    |      
